,source,target,coef_mean,coef_abs,p,-logp
43286,HES5,PAK5,-0.064893425,0.064893425,1.504702110480317e-10,9.822549469890598
43287,FOSB,PAK5,-0.024056539,0.024056539,2.7606394929170533e-05,4.558990303414783
43288,SP9,PAK5,0.014911098,0.014911098,4.984412449191632e-06,5.302386027946658
43289,NEUROD1,PAK5,0.015680877,0.015680877,6.154088643666631e-08,7.210836252453524
43290,RFX4,PAK5,-0.057460297,0.057460297,6.931559680424838e-06,5.159169033153074
43292,PAX7,PAK5,-0.038366836,0.038366836,1.6853283394666022e-07,6.77331547631953
43293,MYOG,PAK5,-0.014538692,0.014538692,1.6310810982656387e-07,6.787524445058037
43294,NRF1,PAK5,0.08752309,0.08752309,2.3753869891954883e-08,7.6242656266366025
43296,TEAD1,PAK5,0.0832325,0.0832325,1.978078522171512e-09,8.703756472562434
43297,LMX1B,PAK5,0.044642698,0.044642698,6.020472283557502e-10,9.220369438626287
43301,LHX2,PALM2-AKAP2,0.025977397,0.025977397,2.5737693227313324e-09,8.589430379869166
43304,CTCF,PALM2-AKAP2,0.013850391,0.013850391,0.0003038447534259154,3.517348258338702
43305,FEV,PALM2-AKAP2,0.0107785035,0.0107785035,2.2605284675097124e-15,14.64579001939521
43307,FOSL1,PALM2-AKAP2,-0.046176493,0.046176493,6.565395071700412e-09,8.182739135180439
43308,SP1,PALM2-AKAP2,-0.03826085,0.03826085,1.9890878222066337e-08,7.701346041482038
43309,FOXG1,PALM2-AKAP2,-0.10818364,0.10818364,4.959608777557476e-12,11.304552580051947
43311,SP3,PALM2-AKAP2,0.04520693,0.04520693,1.0977365663178246e-11,10.959501868921583
43312,LHX8,PALM2-AKAP2,0.013798534,0.013798534,4.473425481878653e-12,11.349359792718456
43313,PRDM1,PALM2-AKAP2,0.013582651,0.013582651,1.0852726177039469e-05,4.964461154448801
43314,EBF1,PALM2-AKAP2,0.018298112,0.018298112,2.811274495543665e-05,4.551096747391581
43315,MAZ,PALM2-AKAP2,-0.03589223,0.03589223,7.064597693078047e-08,7.150912564834674
43316,CREB5,PALM2-AKAP2,0.086954325,0.086954325,2.1024355233340376e-08,7.6772773140982355
43317,TFAP2A,PALM2-AKAP2,-0.021466173,0.021466173,1.0247232582404985e-06,5.989393406458767
43318,JUND,PALM2-AKAP2,-0.04154591,0.04154591,5.393394664143449e-09,8.268137798849907
43320,NR4A3,PALM2-AKAP2,-0.031815156,0.031815156,1.8573391121480224e-06,5.731108795727557
43321,KLF6,PALM2-AKAP2,0.046746805,0.046746805,1.9452866891085902e-07,6.711016384917859
43322,AR,PALM2-AKAP2,0.04495771,0.04495771,3.66117776986263e-07,6.436379183274707
43323,MEF2C,PALM2-AKAP2,0.06671533,0.06671533,2.9541497847334886e-13,12.529567488362572
43324,SP4,PALM2-AKAP2,0.0233289,0.0233289,2.2942714533560015e-07,6.639355198588177
43325,SOX14,PALM2-AKAP2,-0.01363748,0.01363748,3.3454558026887386e-09,8.475544703275265
43326,HOXD3,PALM2-AKAP2,0.008693975,0.008693975,2.707695604955663e-05,4.567400159971566
43327,TFAP2B,PALM2-AKAP2,0.030148622,0.030148622,7.837717543665425e-07,6.1058103917175535
43328,SOX2,PALM2-AKAP2,-0.09179475,0.09179475,9.866110924706597e-09,8.005854006072624
43331,WT1,PALM2-AKAP2,0.020203676,0.020203676,4.9114953750271474e-11,10.308786260576007
43336,HES5,PALM2-AKAP2,-0.06239864,0.06239864,3.215048494045241e-07,6.492812472028276
43338,SP9,PALM2-AKAP2,-0.015922714,0.015922714,5.815329785468186e-05,4.23542565153779
43339,FLI1,PALM2-AKAP2,0.018735226,0.018735226,3.3017339766858257e-07,6.481257921113064
43340,HNF4G,PALM2-AKAP2,0.052444898,0.052444898,3.6605967432667987e-06,5.436448111003767
43341,NRF1,PALM2-AKAP2,0.059214164,0.059214164,5.496384458074655e-06,5.259922897094664
43345,RFX6,PAPPA2,-0.0026367551,0.0026367551,0.000566407239449918,3.2468712044124635
43346,HOXB9,PAPPA2,-0.0030101538,0.0030101538,3.3254618001967582e-06,5.478148036571085
43348,FOXA2,PAPPA2,-0.0064976984,0.0064976984,1.002287083804743e-05,4.999007866238506
43349,CTCF,PAPPA2,0.028231442,0.028231442,2.4613796621732335e-14,13.608821392201468
43350,FEV,PAPPA2,-0.0018458776,0.0018458776,0.00021942398218323966,3.658715907478505
43351,FOSL1,PAPPA2,0.013605418,0.013605418,1.1935469041470378e-11,10.923160509366086
43352,HNF4A,PAPPA2,0.0066997875,0.0066997875,1.2505162748063793e-05,4.90291065178425
43354,POU2F2,PAPPA2,0.011841935,0.011841935,1.3820913649555781e-05,4.859463246408643
43357,FOXG1,PAPPA2,0.045098573,0.045098573,5.94060187197973e-17,16.2261695522515
43358,EOMES,PAPPA2,0.007902334,0.007902334,1.0360977745047727e-11,10.984599259142659
43360,SP3,PAPPA2,-0.021012465,0.021012465,4.178839695651297e-08,7.378944288494895
43362,MAZ,PAPPA2,0.005843785,0.005843785,3.7963916517349407e-07,6.420628990287606
43363,TFAP2A,PAPPA2,0.015973436,0.015973436,4.269401100602541e-15,14.369633042292454
43365,SP8,PAPPA2,0.0042696386,0.0042696386,1.5902032323232454e-05,4.798547368109622
43367,KLF16,PAPPA2,-0.01030767,0.01030767,1.579623286143838e-10,9.801446472701237
43368,LHX1,PAPPA2,-0.0168465,0.0168465,2.94533344479958e-07,6.530865531084375
43369,SOX10,PAPPA2,0.00469226,0.00469226,3.178905160499923e-12,11.497722428639474
43371,SP4,PAPPA2,-0.0068697673,0.0068697673,7.613334126733668e-05,4.118425109887179
43372,TFAP2B,PAPPA2,0.007825671,0.007825671,1.1098919234549976e-05,4.954719308900107
43375,SOX9,PAPPA2,-0.015531417,0.015531417,4.068648356617446e-06,5.39054984354065
43376,FOSL2,PAPPA2,-0.009939425,0.009939425,1.8112201644261413e-05,4.742028755437573
43377,JUNB,PAPPA2,0.021242416,0.021242416,1.845700609649421e-08,7.733838744329693
43379,KLF11,PAPPA2,0.014660597,0.014660597,2.4756250892484137e-09,8.606315124594943
43380,SP9,PAPPA2,-0.010293816,0.010293816,1.0883964864965864e-05,4.963212868856271
43382,POU6F2,PAPPA2,0.038311865,0.038311865,1.0986259440389006e-10,9.95915014933442
43385,NFYC,PAPPA2,0.022553317,0.022553317,2.7882073899562873e-05,4.554674926067628
43386,PAX7,PAPPA2,0.0045459163,0.0045459163,2.8110217528634313e-05,4.551135793626996
43390,SP2,PAPPA2,-0.006771819,0.006771819,5.069499339718993e-07,6.295034929174319
43391,RFX6,PAPSS2,0.0014494886,0.0014494886,8.951415313313568e-14,13.048108292710083
43392,FOS,PAPSS2,-0.0050597885,0.0050597885,2.2068104023995302e-05,4.65623497754461
43394,FOXA2,PAPSS2,0.0014913052,0.0014913052,1.0957556454215042e-07,6.960286283148024
43395,ETV5,PAPSS2,-0.00395877,0.00395877,3.094853268398085e-06,5.509359936703848
43398,FOSL1,PAPSS2,0.0012418426,0.0012418426,5.422056239253182e-05,4.265835982094771
43399,HNF4A,PAPSS2,0.0010286316,0.0010286316,0.00014099592089551033,3.8507934515871485
43400,GATA3,PAPSS2,-0.0013696346,0.0013696346,0.00026166061686028723,3.582261639100145
43401,SP1,PAPSS2,0.003956234,0.003956234,1.9335433619851908e-08,7.71364608391689
43403,THRB,PAPSS2,-0.004980759,0.004980759,6.685234632269792e-08,7.174883345662754
43404,TWIST1,PAPSS2,0.0044572144,0.0044572144,2.9705595399754358e-09,8.527161738482162
43405,PRDM1,PAPSS2,0.0013747595,0.0013747595,7.829403514656136e-06,5.10627132353095
43406,EBF1,PAPSS2,-0.0020522575,0.0020522575,1.9620495938389035e-07,6.70729001935242
43407,IRF1,PAPSS2,0.0018482492,0.0018482492,0.0002914014136189535,3.5355083457526386
43408,SP3,PAPSS2,0.0033534034,0.0033534034,1.3277961590481996e-10,9.876868591982655
43409,MAZ,PAPSS2,-0.002376985,0.002376985,3.983671817334514e-10,9.3997164468024
43410,HMGA2,PAPSS2,0.011513957,0.011513957,2.6425282502247868e-05,4.577980361125113
43411,JUND,PAPSS2,0.0052913,0.0052913,8.75322525569722e-15,14.057831895244657
