,source,target,coef_mean,coef_abs,p,-logp
48632,NRF1,PRR16,0.050439596,0.050439596,6.675887597615664e-06,5.1754909841776655
48633,PAX3,PRR16,0.07442236,0.07442236,4.3573702845557557e-11,10.360775532626498
48634,TEAD1,PRR16,0.120622516,0.120622516,3.64342614505165e-11,10.438490029520997
48637,BCL11B,PRR27,-0.010535351,0.010535351,4.625041514019362e-16,15.334884364713355
48638,IRF1,PRR27,0.0030629467,0.0030629467,1.0880963639850705e-10,9.963332640948739
48639,MEF2C,PRR27,0.005094157,0.005094157,1.1952652843781497e-06,5.922535694083837
48640,POU6F2,PRR27,-0.0030461703,0.0030461703,0.00011238891088895493,3.9492765373195926
48641,OTX2,PRR27,-0.0007721896,0.0007721896,0.0005028345447915157,3.2985748938799118
48644,ESR1,PRR27,0.0005134094,0.0005134094,0.0002101156390923391,3.677541621469667
48645,NR4A3,PRR27,-0.0016538138,0.0016538138,1.6408128193917073e-09,8.784940959557455
48648,FOS,PRRX1,0.022688037,0.022688037,8.547590118565623e-07,6.068156311673286
48654,HNF4A,PRRX1,-0.0064273365,0.0064273365,0.0006059400407150918,3.2175703482345273
48655,SP1,PRRX1,-0.012984469,0.012984469,2.3254696092302588e-05,4.633489331761943
48656,GATA3,PRRX1,0.029061865,0.029061865,9.116242222432894e-06,5.040184143949271
48657,THRB,PRRX1,0.010021233,0.010021233,0.0005587389573612562,3.2527910469552417
48659,HES1,PRRX1,-0.020602114,0.020602114,2.7487836814892654e-07,6.560859436086702
48661,LHX8,PRRX1,0.013623928,0.013623928,1.504642366773845e-08,7.8225667137536705
48662,IRF1,PRRX1,0.023368761,0.023368761,5.0317883485293764e-12,11.298277634851924
48665,TFAP2A,PRRX1,0.027787102,0.027787102,1.4331661626088276e-06,5.843703454180046
48666,JUND,PRRX1,0.0102530485,0.0102530485,9.060676226721569e-07,6.042839388352521
48667,SP8,PRRX1,-0.023068072,0.023068072,7.29694159890951e-07,6.1368591296104045
48668,KLF16,PRRX1,-0.005957053,0.005957053,1.2637723150188392e-07,6.8983311627924495
48669,LHX1,PRRX1,0.06365979,0.06365979,9.082656039546212e-13,12.041787132245126
48670,E2F7,PRRX1,0.0038482123,0.0038482123,9.94821334216971e-05,4.00225490973769
48671,ARNTL2,PRRX1,-0.017033553,0.017033553,0.00015089192150495172,3.821334010984768
48672,SP4,PRRX1,0.031340446,0.031340446,3.2711189296619264e-13,12.485303665732262
48673,SOX14,PRRX1,-0.14857139,0.14857139,2.7494206365286492e-11,10.560758811939595
48674,HOXD3,PRRX1,-0.030293802,0.030293802,2.7226675994494505e-05,4.565005376851993
48675,TFAP2B,PRRX1,0.024926372,0.024926372,0.00016590440722030243,3.7801420768687395
48676,SOX2,PRRX1,-0.029383421,0.029383421,2.538392600235469e-05,4.595441206934113
48677,WT1,PRRX1,0.008962292,0.008962292,4.6151362314757636e-05,4.335815474767006
48678,HEYL,PRRX1,0.014115013,0.014115013,0.0008290640695304065,3.08141190615861
48680,PAX2,PRRX1,-0.048465036,0.048465036,1.966500858600761e-05,4.706305859635373
48684,PPARG,PRRX1,0.017640276,0.017640276,6.599055689446425e-07,6.180518206610262
48685,NR1H4,PRRX1,-0.008046044,0.008046044,4.94061136890484e-06,5.306219306599983
48686,FLI1,PRRX1,0.03446537,0.03446537,8.186667849976148e-08,7.086892829477152
48687,RFX4,PRRX1,0.08887808,0.08887808,1.515280902420496e-11,10.81950685028852
48691,EPAS1,PRRX1,-0.04187325,0.04187325,5.6033724322271355e-08,7.2515505108742575
48695,RFX6,PRSS12,0.021964667,0.021964667,4.161854506482372e-08,7.3807131062811235
48696,FOS,PRSS12,-0.18413424,0.18413424,4.1029459695297464e-08,7.386904202089775
48697,AHR,PRSS12,-0.09651919,0.09651919,1.1792796734119514e-12,11.92838318708825
48699,FOXA2,PRSS12,-0.088189356,0.088189356,4.3288249298458065e-07,6.363629977952002
48700,CTCF,PRSS12,-0.11412999,0.11412999,6.958430223224498e-10,9.157488723361322
48701,FEV,PRSS12,-0.018459782,0.018459782,1.9542376540021904e-12,11.709022623040108
48702,POU2F2,PRSS12,-0.3700287,0.3700287,1.009003766419319e-12,11.996107212621292
48703,SP1,PRSS12,0.11782017,0.11782017,4.945500521179908e-11,10.305789748033186
48704,FOSL1,PRSS12,-0.023651179,0.023651179,0.00018512388049455428,3.7325375547854285
48706,THRB,PRSS12,0.25204527,0.25204527,7.43127789570776e-23,22.128936497769214
48707,POU3F2,PRSS12,0.12824981,0.12824981,5.475200170683686e-05,4.261599998600314
48708,PRDM1,PRSS12,-0.06574256,0.06574256,1.467170386821861e-09,8.833519447329484
48709,IRF1,PRSS12,0.07458218,0.07458218,5.763560431524696e-11,10.239309148857842
48712,CREB5,PRSS12,0.08795572,0.08795572,1.1743950098894669e-05,4.930185802780588
48713,MAZ,PRSS12,-0.11914206,0.11914206,1.9861524842278443e-09,8.701987412176704
48714,TFAP2A,PRSS12,-0.09207968,0.09207968,0.0004904499656759024,3.309405291524036
48715,HES1,PRSS12,0.083310165,0.083310165,1.8847177640006912e-06,5.724753676075862
48717,SP8,PRSS12,0.057284586,0.057284586,7.900818804048824e-06,5.102327898120564
48718,ELF2,PRSS12,0.07054737,0.07054737,1.7012390350823555e-06,5.769234660917822
48719,KLF6,PRSS12,0.13643287,0.13643287,2.8754903688839087e-07,6.541288082682002
